,Warmth Score,Competence Score,Discomfort Score
Warmth Score,1.0,0.41033221506577283,-0.25092585921646904
Competence Score,0.41033221506577283,1.0,-0.865237841379293
Discomfort Score,-0.25092585921646904,-0.865237841379293,1.0
