Participant,Exercise,Set,Target Reps,Total Attempts,Correct Reps,Incorrect Reps,Participant,Exercise,Set,Total Reps,Correct Reps,Incorrect Reps,Notes,
P10,Russian Twist,2,5,7,5,2,P10,Tricep Pushdown,1,9,9,0,,
P10,Tricep Pushdown,1,12,15,12,3,P10,Tricep Pushdown,2,10,10,0,,
P10,Tricep Pushdown,2,12,14,12,2,,,,,,,,
P11,Hammer Curl,1,15,16,15,1,P11,Hammer Curl,1,15,15,0,,
P11,Hammer Curl,2,15,21,15,6,P11,Hammer Curl,2,15,15,0,,
P11,Hammer Curl,3,15,24,15,9,P11,Hammer Curl,3,15,15,0,,
P12,Tricep Pushdown,1,12,18,12,6,P12,Tricep Pushdown,1,8,8,0,,
P12,Tricep Pushdown,3,12,13,12,1,P12,Tricep Pushdown,2,10,10,0,,
P12,Tricep Pushdown,1,12,10,4,6,,,,,,,,
P13,Push-up,1,12,12,12,0,P13,Push-up,1,11,11,0,,
P13,Push-up,2,15,16,15,1,P13,Push-up,2,15,15,0,,
P13,Push-up,3,10,12,10,2,P13,Push-up,3,10,10,0,,
P13,T-Bar Row,1,12,30,3,27,P13,Chest Fly Machine,1,8,8,0,,
P13,Chest Fly Machine,1,8,11,8,3,P13,Chest Fly Machine,2,8,8,0,,
P13,Chest Fly Machine,2,8,11,8,3,P13,T-Bar Row,1,0,0,14,,
P14,Hammer Curl,1,8,10,8,2,P14,Hammer Curl,1,9,9,0,,
P14,Hammer Curl,2,8,10,8,2,P14,Hammer Curl,2,8,8,0,,
P14,Hammer Curl,3,8,8,8,0,P14,Hammer Curl,3,8,8,0,,
P14,Lateral Raise,1,8,9,8,1,P14,Lateral Raises,1,7,7,0,,
P14,Lateral Raise,2,8,8,8,0,P14,Lateral Raise,2,7,7,0,,
P14,Lateral Raise,3,8,8,8,0,P14,Lateral Raise,3,8,8,0,,
P14,Leg Raises,1,8,16,8,8,P14,Leg Raises,1,9,9,0,,
P14,Tricep Pushdown,1,8,14,8,6,P14,Tricep Pushdown,1,7,7,0,,
P14,Chest Fly Machine,1,8,8,8,0,P14,Chest Fly Machine,1,8,6,2,,
P14,Chest Fly Machine,2,8,10,8,2,P14,Leg Extension,1,10,10,0,,
P14,Leg Extension,1,8,9,8,1,,,,,,,,
P15,Squat,1,10,10,10,0,P15,Squat,1,10,10,0,,
P15,Squat,2,10,10,10,0,P15,Squat,2,10,10,0,,
P15,Leg Extension,1,10,12,10,2,P15,Leg Extension,1,10,10,0,,
P15,Leg Extension,2,10,10,10,0,P15,Leg Extension,2,10,10,0,,
P16,Push-up,1,8,20,8,12,P16,Push-up,1,13,13,0,,
P16,Push-up,2,8,27,8,19,P16,Push-up,2,12,12,0,,
P16,Push-up,3,8,9,8,1,P16,Push-up,3,8,8,0,,
P16,Squat,1,10,19,10,9,P16,Squat,1,14,14,0,,
P16,Squat,2,10,12,10,2,P16,Squat,2,12,12,0,,
P16,Squat,3,10,12,10,2,P16,Squat,3,13,13,0,,
P16,Hammer Curl,1,10,11,10,1,P16,Hammer Curl,1,10,10,0,,
P16,Hammer Curl,2,10,11,10,1,P16,Hammer Curl,2,10,10,0,,
P16,Hammer Curl,3,10,13,10,3,P16,Hammer Curl,3,10,10,0,,
P16,Russian Twist,1,20,22,20,2,P16,Russian Twist,1,34,34,0,,
P19,Hammer Curl,1,12,12,12,0,P19,Hammer Curl,1,12,12,0,,
P19,Hammer Curl,2,12,12,12,0,P19,Hammer Curl,2,12,12,0,,
P19,Hammer Curl,3,12,13,12,1,P19,Hammer Curl,3,13,13,0,,
