Participant,Exercise,Exercise Key,Set,Robot CSV Row,Video CSV Row,Target Reps,Robot Total Attempts,Video Total Reps,Robot Correct Reps,Video Correct Reps,Robot Incorrect Reps,Video Incorrect Reps,Notes,Correct Rep Error,Correct Rep Absolute Error,Total Attempt Error,Total Attempt Absolute Error
P16,Squat,squat,2,112,112,10.0,12.0,12.0,10.0,12.0,2.0,0.0,,-2.0,2.0,0.0,0.0
P16,Squat,squat,3,113,113,10.0,12.0,13.0,10.0,13.0,2.0,0.0,,-3.0,3.0,-1.0,1.0
P19,Hammer Curl,hammer curl,1,118,118,12.0,12.0,12.0,12.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0
P19,Hammer Curl,hammer curl,2,119,119,12.0,12.0,12.0,12.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0
P19,Hammer Curl,hammer curl,3,120,120,12.0,13.0,13.0,12.0,13.0,1.0,0.0,,-1.0,1.0,0.0,0.0
P19,Squat,squat,1,121,121,5.0,5.0,5.0,5.0,3.0,0.0,2.0,,2.0,2.0,0.0,0.0
P19,Squat,squat,2,122,122,5.0,5.0,5.0,,5.0,0.0,0.0,,,,0.0,0.0
P19,Squat,squat,3,123,123,5.0,5.0,5.0,5.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0
P2,Hammer Curl,hammer curl,1,6,6,8.0,8.0,9.0,8.0,9.0,0.0,0.0,,-1.0,1.0,-1.0,1.0
P2,Lateral Raise,lateral raise,1,7,7,8.0,9.0,9.0,8.0,9.0,1.0,0.0,,-1.0,1.0,0.0,0.0
P2,Leg Extension,leg extension,1,8,8,8.0,11.0,18.0,8.0,18.0,3.0,0.0,,-10.0,10.0,-7.0,7.0
P20,Hammer Curl,hammer curl,1,124,124,8.0,8.0,17.0,8.0,17.0,0.0,0.0,,-9.0,9.0,-9.0,9.0
P20,Hammer Curl,hammer curl,2,125,125,8.0,8.0,8.0,8.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0
P20,Hammer Curl,hammer curl,3,126,126,8.0,9.0,10.0,8.0,10.0,1.0,0.0,,-2.0,2.0,-1.0,1.0
P20,Lateral Raise,lateral raise,1,132,132,8.0,9.0,8.0,8.0,8.0,1.0,0.0,,0.0,0.0,1.0,1.0
P20,Lateral Raise,lateral raise,2,133,133,8.0,8.0,7.0,8.0,7.0,0.0,0.0,,1.0,1.0,1.0,1.0
P20,Push-up,push-up,1,127,127,5.0,6.0,6.0,5.0,6.0,1.0,0.0,,-1.0,1.0,0.0,0.0
P20,Push-up,push-up,2,128,128,5.0,6.0,6.0,5.0,6.0,1.0,0.0,,-1.0,1.0,0.0,0.0
P20,Squat,squat,1,129,129,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P20,Squat,squat,2,130,130,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P20,Squat,squat,3,131,131,10.0,10.0,11.0,10.0,11.0,0.0,0.0,,-1.0,1.0,-1.0,1.0
P21,Chest Fly Machine,chest fly machine,1,142,142,10.0,17.0,10.0,8.0,10.0,9.0,0.0,,-2.0,2.0,7.0,7.0
P21,Chest Fly Machine,chest fly machine,2,143,143,8.0,10.0,9.0,8.0,9.0,2.0,0.0,,-1.0,1.0,1.0,1.0
P21,Hammer Curl,hammer curl,1,134,134,10.0,12.0,10.0,10.0,10.0,2.0,0.0,,0.0,0.0,2.0,2.0
P21,Hammer Curl,hammer curl,2,135,135,10.0,11.0,10.0,10.0,10.0,1.0,0.0,,0.0,0.0,1.0,1.0
P21,Lateral Raise,lateral raise,1,138,138,10.0,10.0,11.0,10.0,11.0,0.0,0.0,,-1.0,1.0,-1.0,1.0
P21,Lateral Raise,lateral raise,2,139,139,10.0,10.0,11.0,10.0,11.0,0.0,0.0,,-1.0,1.0,-1.0,1.0
P21,Leg Raises,leg raises,1,140,140,5.0,7.0,5.0,5.0,5.0,2.0,0.0,,0.0,0.0,2.0,2.0
P21,Leg Raises,leg raises,2,141,141,5.0,7.0,5.0,5.0,5.0,2.0,0.0,,0.0,0.0,2.0,2.0
P21,Squat,squat,1,136,136,10.0,1.0,10.0,0.0,10.0,1.0,0.0,,-10.0,10.0,-9.0,9.0
P21,Squat,squat,2,137,137,10.0,4.0,11.0,1.0,11.0,3.0,0.0,,-10.0,10.0,-7.0,7.0
P3,Hammer Curl,hammer curl,1,18,18,10.0,12.0,9.0,10.0,9.0,2.0,0.0,,1.0,1.0,3.0,3.0
P3,Hammer Curl,hammer curl,2,19,19,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P3,Lateral Raise,lateral raise,1,12,12,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P3,Lateral Raise,lateral raise,2,13,13,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
