Role,Measure,Valid Sets,Robot Total,Video Total,Absolute Error Sum,WAPE %,Count Accuracy %,MAE,Mean Signed Error,Exact Match n,Exact Match %,Within ±1 n,Within ±1 %
PRIMARY,Correct Rep Count,132,1243.0,1449.0,296.0,20.427881297446515,79.57211870255348,2.242424242424242,-1.5606060606060606,62,46.96969696969697,88,66.66666666666666
SECONDARY,Total Attempt Count,133,1669.0,1547.0,494.0,31.932773109243694,68.0672268907563,3.7142857142857144,0.9172932330827067,42,31.57894736842105,72,54.13533834586466
DIAGNOSTIC,Incorrect Rep Count,133,421.0,107.0,334.0,312.14953271028037,0.0,2.511278195488722,2.3609022556390977,48,36.09022556390977,73,54.88721804511278
