Key,CSV Row,Participant,Exercise,Set,Target Reps,Total Attempts,Correct Reps,Incorrect Reps,Notes
"('P12', 'tricep pushdown', 1)",84,P12,tricep pushdown,1,12.0,18.0,12.0,6.0,
"('P12', 'tricep pushdown', 1)",86,P12,tricep pushdown,1,12.0,10.0,4.0,6.0,
